gender,campaignchannel,campaigntype,adspend,clickthroughrate,pagespervisit,timeonsite,emailopens,emailclicks,previouspurchases,loyaltypoints,conversion
Female,Social Media,Retention,3782.1149728556256,0.2477903848795904,3.036385949261359,5.217863561728674,6,1,8,3673,1
Female,PPC,Consideration,2542.5953513686086,0.1587623071149846,8.689264345380316,11.600881066727364,7,6,0,2508,1
Male,Social Media,Retention,777.9981779996363,0.2487614395669349,4.104399698154806,2.591177699114104,7,6,6,3940,1
Male,Email,Consideration,4582.389431852949,0.0405348558959635,5.301564468082293,12.124415961215025,10,6,6,4616,1
Female,Email,Awareness,622.7762311727431,0.014026261310483,1.825657307507804,13.19594485761562,6,1,8,667,0
Female,Social Media,Consideration,6782.605857540261,0.0246085097129431,7.117804096674777,5.564637589915209,1,1,6,1024,1
Male,PPC,Awareness,9547.290583315227,0.2801989150164267,9.150275370221234,14.874487438757674,13,7,0,3183,1
Male,SEO,Conversion,3237.339743839322,0.0182663916869668,1.3682150892272849,8.499004936681601,9,8,8,1078,1
Female,Referral,Consideration,1917.0630652799296,0.1021623249904358,7.945707634972981,7.939385444914072,12,0,8,465,1
Female,Email,Retention,547.4418583307472,0.1089632712416165,9.14615569536783,8.075317227266794,6,5,6,1099,1
Male,SEO,Conversion,9935.375534950525,0.0176001184268045,9.706490800839177,5.742376095184727,16,3,7,51,0
Female,Referral,Awareness,7241.9036925011505,0.2771172340495525,7.751879570787596,12.3321622228025,5,7,7,1117,1
Female,PPC,Conversion,8370.518200942317,0.0144510286811602,4.901993807775586,6.0623313935769705,2,7,3,1597,1
Male,Email,Awareness,7820.312111212137,0.2269703999636456,8.404164681332544,3.954970554324732,0,2,8,687,1
Female,SEO,Awareness,5103.45309546531,0.0942413747663558,8.546864621256313,10.621051341430151,6,7,1,3971,1
Female,PPC,Consideration,3283.146034889008,0.0220020377273858,4.6532718740641394,7.45559457066106,7,6,2,1914,1
Male,PPC,Retention,6790.13143652212,0.166180732690362,7.318265949843063,3.5837343061534987,16,6,8,726,1
Female,Social Media,Consideration,2132.50586452022,0.1253805977574766,3.3856128317287704,13.54696743074958,1,4,9,2436,1
Female,Referral,Conversion,174.9340978719053,0.1745559967130365,5.281727041282922,11.362641249861476,6,6,7,4959,1
Female,SEO,Conversion,9594.498142827746,0.1839143681289861,7.840693796992175,7.814360818032827,15,6,9,1722,1
Female,Email,Retention,8658.628982745882,0.2359015375148835,2.299353345637796,8.565059793400323,3,0,7,1528,1
Female,SEO,Consideration,243.4379929769578,0.2460558201364234,5.962755215908405,2.132372728455306,19,9,0,484,1
Female,Social Media,Conversion,9424.435721508047,0.2500414290902046,2.836158029395889,9.2791129751193,4,5,9,2581,1
Female,PPC,Awareness,2627.900017889859,0.081048321915224,7.54770104715215,4.824896617825387,2,8,0,2219,0
Female,Social Media,Conversion,8606.305758627792,0.229619927207183,7.86837676907101,1.2343525790090475,12,1,4,1881,1
Female,Referral,Awareness,7875.372632670053,0.2686367550314714,6.0594406455575465,9.221239873344542,1,5,9,2448,0
Female,SEO,Conversion,5489.460127551151,0.2136093147860175,3.789523528075634,7.688462762968406,16,5,5,2215,1
Female,Social Media,Awareness,692.4871782961964,0.2721976953092467,1.0593853886961235,3.482345780379742,11,5,8,2086,0
Female,Email,Conversion,2076.535113910116,0.0771545687008888,7.818844717795544,14.229981592378053,11,4,2,951,1
Female,PPC,Retention,8839.262701634838,0.0776442792123451,7.661819110833743,5.564654591330097,2,0,5,904,0
Female,SEO,Retention,3101.827443674721,0.1194523010693179,7.176175849795701,10.97709979502648,14,5,3,4017,1
Male,SEO,Awareness,8023.960210709904,0.030216295405887,2.856073968441054,14.0796686393711,7,2,0,2489,1
Male,Referral,Consideration,9532.321000514376,0.1006013960942985,5.691950437930376,11.37009713118597,11,7,2,4658,1
Female,Referral,Conversion,8392.970804227203,0.2137640341769646,1.2198561408231594,10.033919165910904,15,5,1,4796,1
Female,PPC,Conversion,1838.9913655625087,0.2774863022060771,8.21090917852321,13.648385765354323,13,3,1,4952,1
Male,Social Media,Awareness,9120.639510141606,0.0279707376723479,6.097118804506208,0.8876637378793012,10,8,6,1623,1
Female,SEO,Conversion,3927.9563049162302,0.1717346936870021,4.482720803317736,11.193668265323062,16,5,9,3612,1
Male,Social Media,Consideration,5969.93856929633,0.1216053742705801,3.698204060973564,7.33429794360381,7,4,1,3062,1
Female,Referral,Awareness,2275.5472135466293,0.1436999293555739,2.126796266778189,9.066366917166004,13,2,4,4126,1
