gender,campaignchannel,campaigntype,adspend,clickthroughrate,pagespervisit,timeonsite,emailopens,emailclicks,previouspurchases,loyaltypoints,conversion
Female,SEO,Awareness,8289.61336076101,0.0487724322675425,1.8354478818567528,12.774248499041274,14,5,4,4699,1
Male,Email,Awareness,6019.376898172321,0.2474985458536501,6.266279346807265,13.33513960378992,9,9,5,1531,1
Female,PPC,Conversion,5120.889850165628,0.2954939814349053,7.90022831647627,2.7782644851110647,13,4,6,1363,1
Female,Social Media,Consideration,3244.207029380282,0.050996663308086,4.425366252762408,5.008459229907334,13,7,4,695,1
Male,Email,Retention,9674.170306803326,0.213367888038098,7.139192541452523,13.617535176343043,6,1,2,2656,1
Female,Email,Awareness,6983.4968357478165,0.2369270351289118,9.755226769851667,7.564177607298884,18,7,3,3268,1
Female,Referral,Awareness,5354.543306534728,0.0278174580989728,7.244519453857714,13.015968006200303,12,1,8,3803,1
Male,SEO,Conversion,1054.9852260340256,0.217849752181685,5.997173621625889,2.590515810751078,12,5,8,1510,1
Female,PPC,Retention,8653.685967268557,0.1895923196368693,5.412175180220722,2.364012824001364,3,5,7,606,1
Female,Referral,Conversion,8439.043311877263,0.0931835016995777,9.761126827498089,0.5373471181940648,4,2,3,3157,1
Male,Social Media,Awareness,3724.9048716350826,0.1273192135475417,4.517875338939453,1.674282823004254,7,1,0,1038,1
Female,PPC,Consideration,7400.789369019341,0.138691357437719,4.106862827665528,5.386867657256111,11,5,9,4254,1
Female,Referral,Retention,5510.905837245249,0.1448154901077228,2.0026444668301453,0.5853793609698326,5,4,4,1278,1
Female,Social Media,Retention,2739.215357078725,0.2092801281303936,7.976771397625896,3.790015641968457,17,4,0,2889,1
Female,SEO,Consideration,8033.469277598506,0.185132122553863,5.375110597759012,12.311543742244291,2,0,3,1509,1
Female,Referral,Awareness,7206.654325560468,0.2093717699783492,3.632447336739468,11.325599808935614,0,3,4,4701,1
Male,Referral,Consideration,3144.6710326722064,0.263420874512313,7.958733225960502,9.635652678629164,15,1,6,330,0
Female,Social Media,Consideration,7809.927438832949,0.0688117043783726,7.757249077794972,9.433003451168688,5,2,4,4301,1
Male,Referral,Conversion,7681.5106987505715,0.2653783394691227,9.70230031356368,14.397682506160011,14,4,5,1485,1
